Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2024-05-13,3702.288818359375,3709.041009044483,3629.3271061952337,3642.925360210694,931326
2024-05-14,3658.587158203125,3700.413608162642,3650.803283386374,3691.2230172569975,1058317
2024-05-15,3639.080810546875,3682.735947564617,3634.485629369305,3661.682141626229,1115021
2024-05-16,3684.942138671875,3693.0187445265583,3630.67337116967,3675.637702384871,2599399
2024-05-17,3621.794189453125,3702.9375501529057,3617.9211268075583,3701.992923226846,2765804
2024-05-21,3608.663330078125,3631.8539646234467,3599.075460107987,3618.4875873749434,1908117
2024-05-22,3619.810546875,3628.548346342274,3606.1607332910276,3622.644427783305,1311168
2024-05-23,3677.857177734375,3688.767663426612,3613.6698326347005,3628.264270607641,2095742
2024-05-24,3636.341064453125,3668.7418115804035,3631.429050950218,3663.4990864307915,1309452
2024-05-27,3634.027099609375,3691.9327769001197,3628.642772199506,3641.536837624862,1841538
2024-05-28,3627.272705078125,3655.706066734782,3617.9209911096164,3644.370544047232,1801993
2024-05-29,3593.02978515625,3635.774149635783,3589.5819894414226,3635.774149635783,1568095
2024-05-30,3529.220458984375,3584.2920197241397,3509.7137762005277,3567.855604818015,2919230
2024-05-31,3467.677978515625,3542.1618998121,3451.430442400017,3532.904510318457,10956800
2024-06-03,3497.81201171875,3543.815298291685,3491.3412248298496,3526.103542889748,2156773
2024-06-04,3509.2890625,3537.6278705417226,3392.627636061575,3495.1196584791387,3395997
2024-06-05,3538.99755859375,3574.2794671048623,3495.1196832887176,3510.2337143515874,2799670
2024-06-06,3618.298583984375,3627.2725390345563,3534.3213495003415,3571.634109972148,4328036
2024-06-07,3678.329833984375,3698.2142761529285,3624.8168128885063,3624.8168128885063,4552445
2024-06-10,3645.031982421875,3689.6183285403354,3629.1622034653205,3679.3219869872228,1734661
2024-06-11,3638.797119140625,3665.1048380918546,3628.311669035547,3632.0901763711736,1419898
2024-06-12,3619.4794921875,3677.9047569591216,3615.5121054162055,3659.8622913039767,2177001
2024-06-13,3663.40478515625,3674.5987063691045,3638.7028835305373,3643.23713885556,1932323
2024-06-14,3619.857177734375,3673.6536279097,3616.0313930671978,3673.6536279097,1860730
2024-06-18,3603.84619140625,3629.256562858962,3584.9063758687394,3614.1898098741085,1774045
2024-06-19,3591.188232421875,3621.558127260561,3582.922746603089,3615.7012556686554,1509050
2024-06-20,3577.5380859375,3598.981069597492,3570.736818650082,3585.8035709865335,2846526
2024-06-21,3599.73681640625,3663.074093663598,3587.7401013764106,3615.087002922448,4642195
2024-06-24,3605.451904296875,3643.4258585651314,3581.363918973201,3597.8476118252383,1702154
2024-06-25,3625.90283203125,3634.593352796922,3582.875033532891,3605.6406325261373,1338808
2024-06-26,3642.33984375,3652.8250643098772,3628.312041577448,3631.618235835589,1639845
2024-06-27,3716.3037109375,3723.7191241208575,3606.679947095457,3618.865541478185,4526556
2024-06-28,3687.96484375,3740.722345851188,3682.013879060851,3700.8591386940006,2731571
2024-07-01,3757.91455078125,3780.113282123888,3668.9307461619287,3668.9307461619287,2658723
2024-07-02,3794.9443359375,3800.6120978156096,3762.024224068573,3772.4623983184556,2307449
2024-07-03,3745.681884765625,3803.162524946505,3735.9994588608656,3797.4002085008037,1821198
2024-07-04,3798.297119140625,3823.235405255643,3761.5985060070725,3778.3656318563008,2518001
2024-07-05,3789.654052734375,3803.7761780539627,3767.171887521997,3787.953678275629,1668616
2024-07-08,3772.084228515625,3808.0273294957547,3757.7732227074534,3799.2895303521054,1758882
2024-07-09,3764.810546875,3785.0727479543702,3754.9865192673674,3764.3382334203675,1305801
2024-07-10,3692.6884765625,3781.6252453420952,3685.9344858860404,3763.110464235507,2669716
2024-07-11,3706.4326171875,3759.615159156207,3679.8887389846327,3713.3284398600626,4872189
2024-07-12,3952.27197265625,3967.386003323572,3751.3969204452933,3759.6151284962884,13509164
2024-07-15,3938.33837890625,4005.217774223689,3926.860793883842,4001.1560633368813,4848030
2024-07-16,3947.076416015625,3962.2845399612966,3915.383907085896,3940.983388073058,2029521
2024-07-18,4076.584716796875,4085.5116261190287,3929.6481767988807,3929.6481767988807,5613364
2024-07-19,4073.6015625,4126.95500501344,4057.363678860647,4087.8038739597537,3903354
2024-07-22,4059.35205078125,4090.218499814398,4038.19051447339,4071.2820847406656,1896386
2024-07-23,4073.55517578125,4129.749091200278,4039.4220034038367,4055.2340980748054,2365208
2024-07-24,4077.2470703125,4108.3502260578525,4041.1259492527006,4059.4941803111396,1809793
2024-07-25,4092.6328125,4112.042638447079,4046.901553853059,4066.595241107577,2810342
2024-07-26,4154.5078125,4187.2679052166895,4106.4090376287495,4118.670552129421,3552210
2024-07-29,4148.11669921875,4195.362964674367,4138.553716676068,4180.21383187482,1746803
2024-07-30,4133.20458984375,4164.118198879963,4097.177778242139,4157.585227320139,1797906
2024-07-31,4152.140625,4179.266948047126,4113.936313834336,4118.670417762799,2330091
2024-08-01,4163.265625,4184.2847683252885,4132.919742480951,4165.443127805721,2202244
2024-08-02,4055.281005859375,4164.118251496919,4042.9251782382544,4132.873162297419,2811282
2024-08-05,3934.087890625,4013.5736879846177,3891.907205581687,4013.5736879846177,2787771
2024-08-06,3949.379150390625,4031.799717033467,3939.531844107783,3949.1424451879575,2203067
2024-08-07,3977.07373046875,4019.2072572996026,3957.994920939523,4003.1584593448297,1237666
2024-08-08,3950.656982421875,4006.9456644536194,3938.7745661925937,3958.657803185393,2441283
2024-08-09,4003.86865234375,4027.4443989451242,3981.902223791584,3992.7435074037467,1302536
2024-08-12,3972.528564453125,4013.5733382592252,3963.7233160113306,4005.051951129163,936912
2024-08-13,3973.760009765625,4008.839537848005,3960.5516737879557,3988.956299705632,1495593
2024-08-14,4066.831787109375,4077.199659147541,3965.42719330204,3985.1684982115967,3226545
2024-08-16,4181.20751953125,4191.575391499624,4095.0944511200714,4118.670194945417,3457058
2024-08-19,4251.2255859375,4255.249574521071,4156.87498137627,4185.894947757169,2055210
